Provider_Name,Contacts,Category,Speciality,Physical Address,County,Coordinates,Latitude,Longitude,Exact_Location
Ruai Family Hospital- Komarock,0111 033 800,Hosiptal,Inpatient / outpatient,"360 Petrol Station, along Kayole - Spine Road",Nairobi,"(-1.2773942, 36.9157976)",-1.2773942,36.9157976,Komarock
Ruai Family Hospital-Embakasi,0717 044 221,Hosiptal,Inpatient / outpatient,"2nd Floor Savannah Business Center Gate D, Nyayo Estate, Embakasi",Nairobi,"(-1.3072985, 36.9084173)",-1.3072985,36.9084173,Embakasi
Ruai Family Hospital-Ruai,0700 773 884,Hosiptal,Inpatient / outpatient,Along Kangundo Rd. (Opposite Ruai Mosque),Nairobi,"(-1.2718979, 36.9982408)",-1.2718979,36.9982408,Ruai
Ruai Specialist Hospital,0111 033 800,Hosiptal,Inpatient / outpatient,"Behind Oil Libya, Ruai, Along Kangundo road",Nairobi,"(26.3351, 17.228331)",26.3351,17.228331,Ruai
Ruaka Uhai Neema Hospital,0721451397/020-2535326,Hosiptal,Outpatient,Off Thika Road. Opp Safari Park Hotel,Nairobi,"(-1.2261082, 36.8830427)",-1.2261082,36.8830427,Thika Road
Savannah Health care Services,0723975300/ 0728601802,Hosiptal,Inpatient / outpatient,"Gifilian House, Mezzanine Floor, Kenyatta Avenue",Nairobi,"(-1.2849315, 36.8198419)",-1.2849315,36.8198419,Nairobi CBD
Sky Health limited,735339714,Hosiptal,Outpatient,"Kalsons Towers, 3 rd floor 22 the crescent, off parklands road. Parklands",Nairobi,"(-1.2657267, 36.810603)",-1.2657267,36.810603,Parklands
South B Hospital,0722509166/ 0722509165,Hosiptal,Inpatient / outpatient,"Kapiti Cresent, South B shopping centre",Nairobi,"(-1.310341, 36.8337368)",-1.310341,36.8337368,South B
Southgate Medical Centre,723258899,Hosiptal,Outpatient,"Mkoma Road, South B",Nairobi,"(-1.3107253, 36.8356948)",-1.3107253,36.8356948,South B
Sports Injuries and Wellness Centre,0722709648/0712379163,Hosiptal,Outpatient,"Emirates Court, Ngong Road,",Nairobi,"(-1.3352547, 36.6723428)",-1.3352547,36.6723428,Ngong Road
St Francis Hospital,0713969608/0736562277/0202514595,Hosiptal,Inpatient / outpatient,Thika Highway,Nairobi,"(-1.2134454, 36.8997048)",-1.2134454,36.8997048,Thika Road
St Judes Medical Centre,706298700,Hosiptal,Inpatient / outpatient,"Sector 3, Mwangaza Rd, Komarock",Nairobi,"(-1.2667515, 36.9111227)",-1.2667515,36.9111227,Komarock
St Stefani Health Limited ,726813858,Hosiptal,Outpatient,"Fortis Suits, Nairobi",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
St. Odilias dispensary,Â 0738453327 / 0202627380,Hosiptal,Outpatient,"Windy-ridge, Karen",Nairobi,"(-1.3164959, 36.6959529)",-1.3164959,36.6959529,Karen
St. Odilia's Dispensary Missionary Bensis,115510958,Hosiptal,Outpatient,"Windy-Ridge,Gate 181 Karen",Nairobi,"(-1.316866, 36.6903289)",-1.316866,36.6903289,Karen
The Nairobi South Hospital ,0721700408/0205145300,Hosiptal,Inpatient / outpatient,"South C, Along Muhoho Avenue",Nairobi,"(-1.3182853, 36.8295986)",-1.3182853,36.8295986,South C
The Nairobi West Hospital ,730600000,Hosiptal,Inpatient / outpatient,Gandhi Avenue,Nairobi,"(-1.3074211, 36.8225536)",-1.3074211,36.8225536,south C
The River Jordan Medical Centre,0738 366341,Hosiptal,Inpatient / outpatient,"located in Voi town, opposite Dan Mwazo CDF.",Nairobi,"(-3.3889365, 38.5618029)",-3.3889365,38.5618029,Voi
The Sleep DIagnostic and Treatment Center,0780537851/0786824184,Hosiptal,Outpatient,"No. 2, Gatundu road, Kileleshwa",Nairobi,"(-1.2777385, 36.7851381)",-1.2777385,36.7851381,Kileleshwa
Transami medical centre,0712706038/0706801920,Hosiptal,Inpatient / outpatient,Transami- Embakasi- off north airport road,Nairobi,"(-1.3251895, 36.8972816)",-1.3251895,36.8972816,Embakasi
Upper Hill Medical Centre,0716 860336/0780 860336,Hosiptal,Outpatient,Ralph Bunche Road,Nairobi,"(-1.2946419, 36.8062612)",-1.2946419,36.8062612,Upperhill
Utawala Estate Health Centre,707099692,Hosiptal,Inpatient / outpatient,"Within Utawala, Githunguri Road off Eastern Bypass",Nairobi,"(-1.2177545, 36.9904924)",-1.2177545,36.9904924,Utawala
Westands Medical Centre,0202573243/ 0722708176,Hosiptal,Outpatient,"3rd floor suite E17& E18, Krishna Centre",Nairobi,"(51.5901769, -0.0173437)",51.5901769,-0.0173437,Westlands
Westlands Medical Centre,0705 569267/0722 708176,Hosiptal,Outpatient,"Krishna Centre,3rd floor,Woodvale groove street",Nairobi,"(-1.2645418, 36.8036396)",-1.2645418,36.8036396,Westlands
White Oak medical centre ,0715545454/0788545454,Hosiptal,Outpatient,"Spring Valley Business Park, C2 Lower Kabete, Westlands, Nairobi ",Nairobi,"(-1.2675001, 36.812022)",-1.2675001,36.812022,Westlands
Winston Medical Centre,708130100,Hosiptal,Inpatient / outpatient,"Gate B, Standaerd Drive, Fedha Estate, Nairobi",Nairobi,"(-1.3135382, 36.8956986)",-1.3135382,36.8956986,Fedha Estate
Zuri Health Ltd,742820051,Hosiptal,Outpatient,"Gatundu Rd, Kileleshwa, Nairobi",Nairobi,"(-1.277912, 36.7850083)",-1.277912,36.7850083,Kileleshwa
Ramraj medical centre LTD-Nairobi county,0718 919044,Hosiptal,Outpatient,"Lusaka Road, Industrial Area, Nairobi, Kenya",Nairobi,"(-1.2973803, 36.838534)",-1.2973803,36.838534,Industrial Area
Accurite Diagnostic Centre,0770179730/0726232523/0775359434/0790502893,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Kenyyata Hospital, University School of Medicine building",Nairobi,"(44.22530219999999, -76.4913344)",44.2253022,-76.4913344,Kingston
Diagnotest laboratories,0721502853/0798335922,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,Prof Nelson Awori centre,Nairobi,"(-1.295698, 36.8065466)",-1.295698,36.8065466,Upperhill
DML Laboratories,724540718,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"KMA Centre 2nd Floor, Suite 214, Upperhill",Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
Dovey Pharma - JF Centre Branch ,745871385,Pharmacy and Diagnostic Centre,Pharmacy,"JF Centre, Ground floor, Next to Nairobi Hospital",Nairobi,"(-1.2953254, 36.8062905)",-1.2953254,36.8062905,Upperhill
Dovey Pharma - Karen Branch,715801894,Pharmacy and Diagnostic Centre,Pharmacy,"Shell petrol station, Opposite Karen police station, Karen shopping centre.",Nairobi,"(-1.3219435, 36.7067379)",-1.3219435,36.7067379,Karen
Dovey Pharma - Kilimani Branch,700522142,Pharmacy and Diagnostic Centre,Pharmacy,"Along Denis Prit road,Next to St. Georges Primary school",Nairobi,"(-1.2837408, 36.794405)",-1.2837408,36.794405,Kilimani
Dovey Pharma - Kimathi Street Branch,759464364,Pharmacy and Diagnostic Centre,Pharmacy,"Kimathi house, ground floor, Kimathi Street, Nairobi ",Nairobi,"(-1.2838942, 36.8233038)",-1.2838942,36.8233038,Nairobi CBD
Dovey Pharma - Langata Branch,700114707,Pharmacy and Diagnostic Centre,Pharmacy,"Langata mall, Next to clean shelf supermarket, Opposite Langata High school.",Nairobi,"(-1.3640944, 36.7476257)",-1.3640944,36.7476257,Langata
Dovey Pharma - Westlands Branch,709747549,Pharmacy and Diagnostic Centre,Pharmacy,"Located inside the Oil Libya petrol station, Opposite Sankara hotel Westlands",Nairobi,"(-1.2675001, 36.812022)",-1.2675001,36.812022,Westlands
Dovey Pharma- Buru Buru Branch ,758621461,Pharmacy and Diagnostic Centre,Pharmacy,"Shell petrol station, Next to Tuskys Phase 3 Along Mumias Road.",Nairobi,"(-1.2871643, 36.8808933)",-1.2871643,36.8808933,Buruburu
Eldochem Limited,721208559,Pharmacy and Diagnostic Centre,Pharmacy,Greeenspam Mall Donholm,Nairobi,"(-1.2892098, 36.9011283)",-1.2892098,36.9011283,Donholm
Goodlife Pharmacy - Greenspan,0708 248 126,Pharmacy and Diagnostic Centre,Pharmacy,Greeenspam Mall Donholm,Nairobi,"(-1.2892098, 36.9011283)",-1.2892098,36.9011283,Donholm
Goodlife Pharmacy - Hurlingham,0707 505 818,Pharmacy and Diagnostic Centre,Pharmacy,Argwings Kodhek Road,Nairobi,"(-1.2924942, 36.7884358)",-1.2924942,36.7884358,Hurlingham
Goodlife Pharmacy - Junction,0724 840 970,Pharmacy and Diagnostic Centre,Pharmacy,Ngongroad Junction Shopping Mall,Nairobi,"(-1.3352547, 36.6723428)",-1.3352547,36.6723428,Ngong Road
Goodlife Pharmacy - Karen Cross Roads,0707 305 713,Pharmacy and Diagnostic Centre,Pharmacy,Langata Road,Nairobi,"(-1.3362692, 36.7757822)",-1.3362692,36.7757822,Karen
Goodlife Pharmacy - Karen Waterfall mall ,0706 400 631,Pharmacy and Diagnostic Centre,Pharmacy,Langata Road,Nairobi,"(-1.3362692, 36.7757822)",-1.3362692,36.7757822,Langata
Goodlife Pharmacy - Sarit centre ,0757 926 180,Pharmacy and Diagnostic Centre,Pharmacy,Karuna Road,Nairobi,"(-1.2602256, 36.8006199)",-1.2602256,36.8006199,Westlands
Goodlife Pharmacy - Sarit centre new wing ,0715 093 251,Pharmacy and Diagnostic Centre,Pharmacy,Karuna Road,Nairobi,"(-1.2602256, 36.8006199)",-1.2602256,36.8006199,Westlands
Goodlife Pharmacy - Shell Hurlingham,798190600,Pharmacy and Diagnostic Centre,Pharmacy,Argwings Kodhek Road,Nairobi,"(-1.2924942, 36.7884358)",-1.2924942,36.7884358,Hurlingham
Goodlife Pharmacy - Shell Karen,0700 707 845,Pharmacy and Diagnostic Centre,Pharmacy,Langata Road,Nairobi,"(-1.3362692, 36.7757822)",-1.3362692,36.7757822,Karen
Goodlife Pharmacy - Shell Madaraka,0700 707 229,Pharmacy and Diagnostic Centre,Pharmacy,"Shell Madaraka Petrol Station, Langata Road",Nairobi,"(-1.3089421, 36.818818)",-1.3089421,36.818818,Langata Road
Goodlife Pharmacy - Shell Tegemeo,0790 693 957,Pharmacy and Diagnostic Centre,Pharmacy,Waiyaki Way - Nairobi ,Nairobi,"(-1.2643683, 36.7320329)",-1.2643683,36.7320329,Westlands
Goodlife Pharmacy - Shell Thome,0790 692 567,Pharmacy and Diagnostic Centre,Pharmacy,Thika Road - Nairobi ,Nairobi,"(-1.2163932, 36.8949246)",-1.2163932,36.8949246,Thika Road
Goodlife Pharmacy- Donholm Eastgate mall ,0746 737 521,Pharmacy and Diagnostic Centre,Pharmacy,Manyanja Road,Nairobi,"(-1.289808, 36.8940126)",-1.289808,36.8940126,Donholm
Goodlife Pharmacy- Kenyatta avenue ,0705 235 295,Pharmacy and Diagnostic Centre,Pharmacy,Kenyatta Avenue,Nairobi,"(-1.2866945, 36.816937)",-1.2866945,36.816937,Nairobi CBD
Goodlife Pharmacy-Shell Ridgeways ,716915894,Pharmacy and Diagnostic Centre,Pharmacy,"Shell Ridgeways, Kiambu Road",Nairobi,"(-1.2266149, 36.8394626)",-1.2266149,36.8394626,Ridgeways
Haltons Pharmacy - Capital Centre,110139538,Pharmacy and Diagnostic Centre,Pharmacy,"Capital Center Mall,Off Mombasa road",Nairobi,"(-2.7316802, 38.2171862)",-2.7316802,38.2171862,South C
Haltons Pharmacy Buruburu,110139532,Pharmacy and Diagnostic Centre,Pharmacy,"Point mall,Rabai road",Nairobi,"(-1.2939379, 36.8759429)",-1.2939379,36.8759429,Buruburu
Haltons Pharmacy Limited -  South B,0712271981 / 0731-994486,Pharmacy and Diagnostic Centre,Pharmacy,"Amrit House, Next to Mc Frys, Nairobi",Nairobi,"(-1.2377482, 36.810124)",-1.2377482,36.810124,South B
Haltons Pharmacy Limited -  South C,0790062904 / 0731994463,Pharmacy and Diagnostic Centre,Pharmacy,"5 Star road, South C estate (Ranalo apartments), Nairobi ",Nairobi,"(-1.3216839, 36.824754)",-1.3216839,36.824754,South C
Haltons Pharmacy Limited -  Tassia,0720662368 / 0735-994482,Pharmacy and Diagnostic Centre,Pharmacy,"Tassa Fedha Rd, Nxt to Home Mart S/Mkt, Nairobi ",Nairobi,"(-1.3136275, 36.8955563)",-1.3136275,36.8955563,Tassia
Haltons Pharmacy Limited - Karen ,0722606326/ 0731-994487,Pharmacy and Diagnostic Centre,Pharmacy,"Tana House, Karen Shopping Centre, Nxt to Kenchic, Nairobi ",Nairobi,"(-1.3234424, 36.7077693)",-1.3234424,36.7077693,Karen
Haltons Pharmacy Limited - Kasarani ,0713088161/ 0739-994482,Pharmacy and Diagnostic Centre,Pharmacy,"Vision Plaza, off Mwiki Road, Nairobi ",Nairobi,"(-1.2186447, 36.895472)",-1.2186447,36.895472,Kasarani
Haltons Pharmacy-Roysambu,110139536,Pharmacy and Diagnostic Centre,Pharmacy,"Village walk building,off kamiti road,Roysambu",Nairobi,"(-1.2144891, 36.8926984)",-1.2144891,36.8926984,Roysambu
Haltons Pharmacy Limited - Ngumba ,0725638723 / 0736994480,Pharmacy and Diagnostic Centre,Pharmacy,"Ngumba Estate, Stage House Building opposite Main Bus stage, Ngumba, Nairobi ",Nairobi,"(-1.2330092, 36.8855617)",-1.2330092,36.8855617,Ngumba
Haltons Pharmacy Limited - Pipeline ,0721166951 / 0731-994485,Pharmacy and Diagnostic Centre,Pharmacy,"Outering Rd, Next to Total pipeline(HAMZA APARTMENTS), Pipeline , Nairobi county ",Nairobi,"(-1.3106691, 36.8250274)",-1.3106691,36.8250274,Pipeline
Haltons Pharmacy Limited- Adams Arcade,110139532,Pharmacy and Diagnostic Centre,Pharmacy,"Soko Safi, before Green House, Ngong Road",Nairobi,"(-1.3004923, 36.7827634)",-1.3004923,36.7827634,Ngong Road
Haltons Pharmacy Limited- Donholm,110139533,Pharmacy and Diagnostic Centre,Pharmacy,"Donholm, Behind KCB building",Nairobi,"(-1.3049996, 36.8391384)",-1.3049996,36.8391384,Donholm
Haltons Pharmacy Limited- Meridian  Landmark,110139537,Pharmacy and Diagnostic Centre,Pharmacy,Landmark Building Opposite Nairobi Hospital,Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Upperhill
Haltons Pharmacy Limited- Meridian La-Enzi,110139538,Pharmacy and Diagnostic Centre,Pharmacy,La Enzi Plaza,Nairobi,"(-1.3190933, 36.8412804)",-1.3190933,36.8412804,Nairobi west
Haltons Pharmacy Limited- Meridian The Mall,110139540,Pharmacy and Diagnostic Centre,Pharmacy,The Mall Westland,Nairobi,"(-1.2643982, 36.80279549999999)",-1.2643982,36.8027955,Westlands
Haltons Pharmacy Limited- Ngong,110139534,Pharmacy and Diagnostic Centre,Pharmacy,"Maldama Mall, Opposite Ngong Town Stage",Nairobi,"(-1.3562118, 36.6687545)",-1.3562118,36.6687545,Ngong
Haltons Pharmacy-Jogoo road,110139534,Pharmacy and Diagnostic Centre,Pharmacy,Next to uchumi Jogoo road,Nairobi,"(-1.2962312, 36.8602198)",-1.2962312,36.8602198,Jogoo Road
Hope Pharm,0798561606/722966217/721518645,Pharmacy and Diagnostic Centre,Pharmacy,"Doctor's Plaza, Magadi Rd, Ongata Rongai",Nairobi,"(-1.3966311, 36.7479252)",-1.3966311,36.7479252,Ongata Rongai
Ilara Health,700007142,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"5th Avenue Office Suites, Ngong Rd.",Nairobi,"(-1.295998, 36.807956)",-1.295998,36.807956,Upperhill
Inkamed Pharmaceuticals,0727 040770,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Nextgen Mall,ground floor,Mombasa Road",Nairobi,"(-1.3237712, 36.8440353)",-1.3237712,36.8440353,Mombasa Road
Inkamed Pharmaceuticals,0721 683 189,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,Capital Centre inside uchumi supermarket ground floor Mombasa road,Nairobi,"(-2.7316802, 38.2171862)",-2.7316802,38.2171862,South C
Inkamed Pharmaceuticals Ltd,209223369,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Uchumi House, Aga Khan Walk",Nairobi,"(-1.2867226, 36.8251616)",-1.2867226,36.8251616,Nairobi CBD
Kam Pharmacy,2227195/0735473862,Pharmacy and Diagnostic Centre,Pharmacy,"IPS Building, Kimathi Street",Nairobi,"(-1.284634, 36.8234924)",-1.284634,36.8234924,Nairobi CBD
Marian Pharmacy,735013040,Pharmacy and Diagnostic Centre,Pharmacy,"KMA Centre, Mara Rd, Upperhill",Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
Metropolis Star Lab Kenya Ltd - Eastleigh lab ,0789999902/0789999904,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Frontier villas, junction of 2nd avenue/5th street , opposite 6th street malkl, ground floor ",Nairobi,"(38.6145073, -121.3259263)",38.6145073,-121.3259263,Eastleigh
Metropolis Star Lab Kenya Ltd - Empress Lab,0712349900/0733566412,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Empress Suites, 2nd floor, junction of ring rd Parklands/ Jalaram rd, Westlands - Nairobi ",Nairobi,"(-1.258161, 36.8061572)",-1.258161,36.8061572,Parklands
Metropolis Star Lab Kenya Ltd - Fortis Lab,780999552,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Fortis Suits, 1st floor, hospital Road, mear kenyatta nationalk hospital, Nairobi ",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
Metropolis Star Lab Kenya Ltd - Landmark Lab ,0733666693/0735666689,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Landmark plaza annex building, 1st floor, opp Nairobi Hospital, Argwings kodhek Rd, Nairobi",Nairobi,"(-1.2947749, 36.8054)",-1.2947749,36.8054,Upperhill
Metropolis Star Lab Kenya Ltd - Ridge court collection centre ,789999551,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Ridge court, shop no 3, 3rd Parklands Avenue ",Nairobi,"(-1.2591413, 36.8159562)",-1.2591413,36.8159562,Parklands
Metropolis Star Lab Kenya Ltd-5th Avenue Collection Centre,785580727,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"5th Avenue office suites, 2nd Floor, Suite No.13, 5th Ngong avenue Nairobi",Nairobi,"(-1.295998, 36.807956)",-1.295998,36.807956,Upperhill
Metropolis Star Lab Kenya Ltd-KMA Collection Centre,784700122,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"KMA Centre, 3rd Floor, Office No.309, Next to CIC, Mara road Nairobi",Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
Metropolis Star Lab Kenya Ltd-Park Medical Center(PMC) Lab,0733666690/0786566665,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Park Medical Centre (PMC), 2nd floor (Room 201), 3rd Parklands avenue, opposite Aga Khan University hospital Nairobi",Nairobi,"(-1.2574634, 36.81219979999999)",-1.2574634,36.8121998,Parklands
Metropolitan Chemists,0703686662/0202245203/0202219345,Pharmacy and Diagnostic Centre,Pharmacy,"Loita street, consolidated bank",Nairobi,"(-1.2838472, 36.817732)",-1.2838472,36.817732,Nairobi CBD
Orion Muthaiga branch,721649777,Pharmacy and Diagnostic Centre,Pharmacy,"Muthaiga,Oil Libya plaza",Nairobi,"(-1.2614401, 36.8395808)",-1.2614401,36.8395808,Muthaiga
Orion Pharmacy- Landmark plaza,0735555200/07280660660,Pharmacy and Diagnostic Centre,Pharmacy,Landmark plaza opposite Nairobi Hospital,Nairobi,"(-1.2947749, 36.8054)",-1.2947749,36.8054,Upperhill
Orion Riverside Drive,737199416,Pharmacy and Diagnostic Centre,Pharmacy,14 Riverside drive,Nairobi,"(-1.2728656, 36.804205)",-1.2728656,36.804205,Riverside 
Pathcare Kenya-Fortis Suites Collection Centre,748195013,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Fortis Suites, Along Hospital Road, Upperhill",Nairobi,"(-1.300114, 36.8127263)",-1.300114,36.8127263,Upperhill
Pathcare Kenya-Landmark Collection Centre,770736573,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Landmark Plaza, Ground Floor,Argwings Kodhek Road",Nairobi,"(-1.2947749, 36.8054)",-1.2947749,36.8054,Upperhill
Pathcare Kenya-Main Lab,"0733333552, 20-3753416-9, 020-2430854, 020-2430753",Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Regal Plaza,6th Parklands Avenue, Limuru Road",Nairobi,"(-1.2574692, 36.8273657)",-1.2574692,36.8273657,Parklands
Pathologist Lancet Kenya Ltd,70306100,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,5th Avenue Suites Ngong road,Nairobi,"(-1.2961196, 36.8081259)",-1.2961196,36.8081259,Upperhill
Precise Diagnostic Imaging Centre,0722444016/ 020 785 6359,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"5th Avenue, Off Ngong Road",Nairobi,"(-1.2961196, 36.8081259)",-1.2961196,36.8081259,Upperhill
Primestar Medical Laboratory,0739604134// 0732546253,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"KMA CENTRE,MARA ROAD,UPPERHILL",Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
Queensville Pharmacy,750670089,Pharmacy and Diagnostic Centre,Pharmacy,"Mayfair Centre, Ralph Bunche Rd",Nairobi,"(-1.2951564, 36.8067318)",-1.2951564,36.8067318,Upperhill
Queensville Pharmacy-Lavington,0796 106821,Pharmacy and Diagnostic Centre,Pharmacy,JF Centre,Nairobi,"(53.2581342, -7.380840399999999)",53.2581342,-7.3808404,Annagharvey
Rapha Dialysis And Diagnostic Centre Co. Ltd,706900707,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"18 Pacifica, Off Nairobi Road",Nairobi,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462,Kapsoya
RealLab Diagonistic Laboratory Limited,0794612812/0756999888,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Ralph Bunche Road,Proffesor Nelson Awori Center",Nairobi,"(-1.295698, 36.8065466)",-1.295698,36.8065466,Upperhill
Sharp medical laboratories limited ,0736898648/0758360286,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Professor Nelson Awori- 5th floor, Ralph Bunche Road ",Nairobi,"(-1.295698, 36.8065466)",-1.295698,36.8065466,Upperhill
Sonar Imaging Centre,0721550654/0202715906,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Forties Office suites, Ground floor Hospital road opposite Nairobi club",Nairobi,"(-1.300114, 36.8127263)",-1.300114,36.8127263,Upperhill
Summit Diagnostic Ltd,0796777111/0767226666,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"3rd Floor, Fortis Suites, Hospital Rd.",Nairobi,"(-1.2983821, 36.8085711)",-1.2983821,36.8085711,Upperhill
TF Pharmacy,714217617,Pharmacy and Diagnostic Centre,Pharmacy,"KMA Centre, Mara Rd, Upperhill",Nairobi,"(-1.2986041, 36.81135829999999)",-1.2986041,36.8113583,Upperhill
Vital Ray Health Solutions,202731650,Hosiptal,outpatient,"Mayfair Centre, Ralph Bunche Rd",Nairobi,"(-1.2951564, 36.8067318)",-1.2951564,36.8067318,Upperhill
Caitra Pharmacy,0721527637/0798605463,Pharmacy and Diagnostic Centre,Pharmacy,Ngong road greenhouse mall ground floor,Nairobi,"(-1.3352547, 36.6723428)",-1.3352547,36.6723428,Ngong Road
AAR Healthcare Kisumu Outpatient Centre, 0776 843 594/ 057 â€“ 2024892,Hosiptal,outpatient,"1st Floor, Al Imran Plaza Oginga Odinga Road, Kisumu",Kisumu,"(-0.104635, 34.753323)",-0.104635,34.753323,Kisumu
Avenue Health Care Kisumu,0718 860 200/0769 007 979,Hosiptal,Inpatient / outpatient,1st floor of the Al-Imran Plaza Oginga Odinga Street,Kisumu,"(-0.104635, 34.753323)",-0.104635,34.753323,Kisumu
Avenue Health Care Kisumu-Main,0718 860 200/0769 007 979,Hosiptal,Inpatient / outpatient,"Kakamega Road, Kibuye Kisumu",Kisumu,"(-0.0917016, 34.7679568)",-0.0917016,34.7679568,Kisumu
Careplus Medical Services Limited,705812210,Hosiptal,outpatient,"Miwani Road ,Kisumu",Kisumu,"(-0.06023189999999999, 34.9768428)",-0.0602319,34.9768428,Miwani
Equity Afia Ltd- Kisumu,765000045,Hosiptal,outpatient,"Kondele Business Centre, next to Shivling supermarket, Kisumu Kakamega Road",Kisumu,"(0.1685489, 34.7466993)",0.1685489,34.7466993,Kondele
Grams Healthcare,0705570376/ 0712117277,Hosiptal,outpatient,Mulele Plaza Kisumu- Busia Road,Kisumu,"(0.0183658, 34.5947791)",0.0183658,34.5947791,Kisumu
Kisumu Family Health Clinic,0722810411 / 0718714383,Hosiptal,outpatient,"Plot 3375 Kisumu,Miwani Road",Kisumu,"(-0.0917016, 34.7679568)",-0.0917016,34.7679568,Kisumu
Kisumu Specialists Hospital,780154131,Hosiptal,Inpatient / outpatient,RIAT off Kisumu- Kakamega Road,Kisumu,"(0.1685489, 34.7466993)",0.1685489,34.7466993,Riat
Medicross Ltd- Kisumu Ahero,797106686,Hosiptal,Inpatient / outpatient,"Abala Petrol Station, Kisumu Hwy ",Kisumu,"(-0.0917016, 34.7679568)",-0.0917016,34.7679568,Kisumu
Medicross Ltd- Kisumu CBD,728063507,Hosiptal,Inpatient / outpatient,"Tuffoam Mall, Mombasa Road",Kisumu,"(-2.7316802, 38.2171862)",-2.7316802,38.2171862,Kisumu
Medicross Ltd- Kisumu Hwy,797106678,Hosiptal,Inpatient / outpatient,"Mega City Mall, Kisumu",Kisumu,"(-0.1073793, 34.7705249)",-0.1073793,34.7705249,Kisumu
Oasis Doctors Plaza Kisumu,0774317480/0775821644,Hosiptal,Inpatient / outpatient,"Oasis Doctors Plaza Kisumu, Tom Mboya Estate",Kisumu,"(-0.08766679999999999, 34.7703856)",-0.0876668,34.7703856,Kisumu
One Health Limited ,0785101010/0745101010,Hosiptal,Inpatient / outpatient,Hurlingham shopping Centre- Argwings,Kisumu,"(-1.2947061, 36.7994488)",-1.2947061,36.7994488,Hurlingham
St. Jairus Kisumu Hospital,0716 258 129 /0798 506 040,Hosiptal,Inpatient / outpatient,"Riat, Opposite Kisumu International Airport",Kisumu,"(-0.08193009999999999, 34.7285916)",-0.0819301,34.7285916,Kisumu
ST. Luke Medical Centre,0734747677 / 0572021315,Hosiptal,Inpatient / outpatient,"Milimani Estate, Opposite Hare Krishwa Temple, Kisumu",Kisumu,"(-0.1070308, 34.7610265)",-0.1070308,34.7610265,Kisumu
Good Life Pharmacy - Tuff Foam Kisumu,0708 245 170,Pharmacy and Diagnostic Centre,Pharmacy,"Ground Floor Tuffoam Mall, Achieng' Oneko Road, Kisumu",Kisumu,"(-0.1060234, 34.7529759)",-0.1060234,34.7529759,Kisumu
Haltons Pharmacy Limited - Kisumu ,0729509744 / 0737994460,Pharmacy and Diagnostic Centre,Pharmacy,"Oginga Odinga Street, next to Guardian Bank, kisumu",Kisumu,"(-0.1014021, 34.7516836)",-0.1014021,34.7516836,Kisumu
Metropolis Star Lab Kenya Ltd-Kisumu,0789 999 904,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,"Mega Plaza, Wing A, Lower Ground Floor, Oginga Odinga Road",Kisumu,"(-0.1042259, 34.7527944)",-0.1042259,34.7527944,Kisumu
Pathcare Kenya-Kisumu,770442508,Pharmacy and Diagnostic Centre,laboratory and diagnostic centre,United Mall Along Kisumu/Kakamega Highway,Kisumu,"(-0.0917016, 34.7679568)",-0.0917016,34.7679568,Kisumu
